time,mean number of programs,standard deviation
0.019332422875550453,828.0415165644956,205.68808784846348
0.019421746814890256,832.6591178312368,205.39346792644258
0.019511483468466165,837.7580915558765,205.69361289788765
0.01960163474319186,842.0746525049942,206.20277674496106
0.019692202554791725,846.4912257165091,205.72203474066188
0.019783188827841643,850.8211730571265,205.86110378673544
0.01987459549580983,855.3249908355253,205.49422711024744
0.019966424501097934,860.1166919676328,205.30984721986576
0.02005867779508234,864.7251966692426,204.86367449889926
0.020151357338155575,869.0665052186421,204.09241419724586
0.020244465099768037,874.2200873900601,203.70720044736873
0.02033800305846981,879.3656357931307,203.7785534113293
0.020431973201952704,883.9504000318955,203.6293438489804
0.02052637752709252,889.2755549214382,203.72527240864258
0.020621218039991434,894.1030614666718,203.351525324408
0.020716496756020688,899.4002357138249,203.41037024464288
0.02081221569986338,903.4013609991798,202.92393497523489
0.0209083769055575,908.6093615543501,202.89727379409493
0.021004982416539152,914.0177761568714,203.16849854409674
0.021102034285685956,919.6166922814103,203.58792555485584
0.02119953457536071,924.0022434245391,204.28201590048315
0.0212974853574552,929.3854108109705,204.7680434970959
0.021395888713434216,934.7256462706752,205.92167887767866
0.021494746734379806,940.8536692377962,206.80583442613414
0.021594061521035664,946.0130680552517,206.60200900417277
0.021693835183851845,951.2479488848509,205.90860383494342
0.021794069843029548,956.554574603284,205.35663627250736
0.02189476762856621,961.5964612946676,205.50322966052087
0.021995930680300747,967.0147904998245,205.6668639638133
0.02209756114795902,971.7512049255287,205.1984613133771
0.022199661191199548,977.0569042187539,205.1095414249501
0.022302232979659376,982.8868986646369,204.9407617574047
0.022405278693000182,987.6803051602889,204.31526812626893
0.02250880052095462,992.9231296949223,204.2727168392743
0.022612800663372783,998.7036929784703,204.84019999044506
0.02271728133026905,1004.7561327979959,205.28310714932425
0.022822244741868974,1010.543807249422,205.45465713731807
0.022927693128656487,1016.1609691364508,205.32575502179537
0.023033628731421313,1021.9031232869808,205.5990434501023
0.02314005380130653,1027.5541707897314,206.02127449917995
0.02324697059985648,1033.2737101242203,205.61063673189298
0.023354381399064792,1039.494206467315,206.48436680979356
0.023462288481422625,1045.2233620376842,207.4903591742156
0.023570694139967277,1050.4653872268307,207.5900789269918
0.023679600678330776,1055.7674912481834,207.37640591993357
0.023789010410788933,1061.2113311264861,207.1744011008774
0.023898925662310503,1065.9547033077554,207.71810797377748
0.02400934876860652,1071.9181213716827,207.94135157208112
0.02412028207618007,1077.4645173284403,207.95843824219173
0.024231727942375995,1083.0834616004029,208.74893550855919
0.024343688735431104,1087.4119982265063,208.21480513806176
0.024456166834524465,1092.283877967238,208.6900450261989
0.024569164629827903,1098.6565644334446,210.20919444892877
0.024682684522556925,1103.1069760790667,211.19505810297784
0.024796728925021588,1108.600667901319,212.22387334458148
0.024911300260677886,1113.561283419296,212.59820411644228
0.025026400964179192,1119.4154392513744,213.01653901438024
0.025142033481427965,1125.9290162527332,214.0323484273921
0.025258200269627846,1131.9015075180064,213.9739793254688
0.025374903797335705,1137.8010467522631,213.46354012605104
0.025492146544514233,1144.3619890095786,213.51630169108427
0.025609931002584595,1151.975905050027,213.81771610084022
0.025728259674479333,1158.8652955826913,214.43476053075045
0.02584713507469564,1165.3109803959287,215.18053856068238
0.02596655972934871,1171.6343145037602,216.05207700764316
0.02608653617622548,1177.7303299514774,216.4111341618287
0.026207066964838526,1183.1530374043757,217.87815629972093
0.026328154656480213,1189.7447995152902,218.6049019735952
0.0264498018242772,1194.94725139289,219.8366577350417
0.026572011053245054,1201.69300688536,219.88367751605958
0.02669478494034321,1209.7011962157499,220.45073148798787
0.026818126094530156,1216.4488527446306,221.19439686193465
0.026942037136818836,1222.0673195816155,222.1019247657417
0.027066520700332414,1228.7325739605203,222.28205621431815
0.027191579430360175,1236.0242115817546,222.77086715848205
0.02731721598441376,1243.1742452964786,223.85014701672543
0.027443433032283655,1249.8608274948335,224.1485438014575
0.02757023325609584,1257.02105435687,225.58493245679352
0.02769761935036891,1263.5531793601422,225.47035847430686
0.027825594022071243,1269.9885788939434,225.3178567615199
0.027954159990678566,1277.084290046277,224.6060058720781
0.028083319988231725,1283.9460419499378,224.45304893339943
0.02821307675939472,1291.3496961478054,225.6251318037803
0.028343433061513094,1298.1148284407586,225.99870941439133
0.028474391664672465,1305.7384729464452,226.00628551605348
0.02860595535175742,1313.1968033820383,226.16992875947136
0.028738126918510663,1320.355298462872,226.9840565947679
0.028870909173592363,1327.5408867974556,227.35939675877106
0.029004304938639917,1334.8343681025367,228.7487271772422
0.02913831704832787,1342.3318461205365,229.79561540301057
0.02927294835042816,1349.5290927931896,230.07688074944284
0.029408201705870638,1356.3320645291963,231.19204399407104
0.029544079988803814,1363.4437272516377,233.64744382825458
0.029680586086656024,1371.3003574584066,233.29352930891667
0.029817722900196717,1379.3903773068926,234.54522080912838
0.029955493343598132,1387.1513461478817,233.74983891298393
0.030093900344497212,1394.543291859053,234.53233277691942
0.03023294684405778,1401.2511294190297,234.96177271770193
0.030372635797033115,1408.991293854619,235.3422157180377
0.030512970171828694,1415.963583493658,236.0848955645958
0.030653952950565267,1424.6923363790725,236.45339090962415
0.030795587129142266,1433.4164985865004,236.9404541475194
0.03093787571730138,1442.2226417494808,237.47470889712193
0.031080821738690638,1450.4230499467837,238.57330332243563
0.031224428230928563,1458.9479413866652,239.1772256337847
0.031368698245668764,1467.5796854349799,239.5659325641622
0.03151363484866479,1473.617930007109,238.31588595474872
0.03165924111983522,1481.5768513872022,239.3674547240857
0.0318055201533292,1490.2616588043675,238.926207372482
0.03195247505759212,1499.560842024846,239.76703740601263
0.032100108955431715,1507.6461288253195,240.63937241556343
0.03224842498408442,1516.3850259917904,240.6124710102647
0.03239742629528197,1525.1563982040068,240.58730893195897
0.03254711605531848,1533.5126801879167,241.86710743007853
0.032697497445117664,1542.7227834610846,242.79607663688287
0.03284857366030044,1551.8910820713593,243.05593108326693
0.03300034791125285,1559.8411134446567,242.53812774016174
0.03315282342319425,1568.2954122181116,242.69831387727618
0.03330600343624589,1576.7788502184476,242.9459441566984
0.033459891205499734,1585.545125974813,243.873981111003
0.03361449000108765,1593.9984792561968,244.29539597142963
0.033769803108250916,1603.1758854367497,245.4414651024671
0.033925833827409935,1611.756607884322,245.46182863402368
0.03408258547423452,1619.8575486415557,245.98516567726816
0.03424006137971424,1628.7772158522562,246.3892136558977
0.03439826489022924,1636.6688761178175,248.426977256145
0.034557199367621395,1645.5776838984723,249.72854275269975
0.034716868189265615,1654.6735545105153,250.7788039671115
0.03487727474814178,1662.7759623778372,251.53429257238656
0.03503842245290674,1671.7100767855743,252.53076959355158
0.03520031472796679,1681.4275910195163,253.24891582499322
0.035362955013550426,1689.8631429340621,253.72995820827387
0.03552634676578141,1698.5503465392696,254.93889119957785
0.0356904934567523,1707.9621273940497,255.77185990045567
